code,name,kind,sido,pop,area,dens,e65,ealone,single,flood_r,ls_r,slope,coastal,border,rz_n,rz_per100,shel,shel_per10k
47840,성주군,군,경상북도,40374,616.1,65.5,0.428,0.2765,0.5553,0.0174,0.011,17.38,0,0,22,3.57,9,2.23
47850,칠곡군,군,경상북도,103539,452.2,228.9,0.2309,0.1586,0.4743,0.0,0.0156,16.46,0,0,7,1.55,19,1.84
47900,예천군,군,경상북도,53340,665.5,80.2,0.3542,0.2467,0.4662,0.0007,0.023,14.15,0,0,23,3.46,24,4.5
47920,봉화군,군,경상북도,28076,1204.1,23.3,0.4677,0.3003,0.5378,0.0,0.0708,22.61,0,0,33,2.74,4,1.42
47930,울진군,군,경상북도,45615,996.1,45.8,0.3434,0.2521,0.5405,0.008,0.046,21.34,1,0,28,2.81,13,2.85
47940,울릉군,군,경상북도,8324,75.5,110.3,0.323,0.2143,0.6388,0.0,0.0,21.51,1,0,6,7.95,8,9.61
48121,창원시의창구,구,경상남도,209814,209.0,1004.0,0.2084,0.1266,0.3983,0.0533,0.0067,11.33,0,0,3,1.44,88,4.19
48123,창원시성산구,구,경상남도,245097,85.4,2869.8,0.1542,0.0744,0.3569,0.0812,0.0,15.4,1,0,2,2.34,113,4.61
48125,창원시마산합포구,구,경상남도,174360,252.0,691.8,0.2844,0.19,0.4387,0.0463,0.012,17.35,1,0,2,0.79,85,4.87
48127,창원시마산회원구,구,경상남도,173916,91.6,1899.5,0.2605,0.1709,0.3952,0.0524,0.0048,20.47,0,0,1,1.09,103,5.92
48129,창원시진해구,구,경상남도,182750,123.6,1478.1,0.2061,0.1322,0.4007,0.03,0.0133,13.71,1,0,1,0.81,137,7.5
48170,진주시,시,경상남도,334360,714.4,468.0,0.2301,0.1539,0.4386,0.1223,0.0007,15.82,0,0,18,2.52,147,4.4
48220,통영시,시,경상남도,115867,260.5,444.8,0.2852,0.1961,0.464,0.0163,0.0088,11.71,1,0,21,8.06,110,9.49
48240,사천시,시,경상남도,107628,406.6,264.7,0.2792,0.1998,0.4826,0.0011,0.0045,13.97,1,0,40,9.84,38,3.53
48250,김해시,시,경상남도,532758,462.4,1152.0,0.1713,0.1142,0.3687,0.0964,0.0075,13.55,0,0,14,3.03,85,1.6
48270,밀양시,시,경상남도,97114,803.9,120.8,0.3764,0.2589,0.5042,0.1978,0.0155,18.94,0,0,22,2.74,29,2.99
48310,거제시,시,경상남도,225681,422.4,534.3,0.1739,0.1102,0.4012,0.0459,0.001,14.26,1,0,37,8.76,107,4.74
48330,양산시,시,경상남도,361264,488.9,739.0,0.1996,0.1325,0.3845,0.0264,0.0193,19.59,0,0,22,4.5,45,1.25
48720,의령군,군,경상남도,24516,483.5,50.7,0.4583,0.3393,0.5857,0.015,0.0,19.22,0,0,33,6.83,8,3.26
48730,함안군,군,경상남도,56737,416.8,136.1,0.3497,0.2517,0.4751,0.0035,0.014,15.06,0,0,24,5.76,14,2.47
48740,창녕군,군,경상남도,54321,528.9,102.7,0.4129,0.2916,0.546,0.2306,0.0056,14.88,0,0,36,6.81,17,3.13
48820,고성군,군,경상남도,46771,525.6,89.0,0.4061,0.284,0.5274,0.0,0.0107,16.35,1,0,13,2.47,18,3.85
48840,남해군,군,경상남도,41116,374.2,109.9,0.4427,0.2837,0.5089,0.0562,0.0024,14.74,1,0,26,6.95,14,3.41
48850,하동군,군,경상남도,39539,679.0,58.2,0.4499,0.3029,0.5467,0.0036,0.0138,19.12,1,0,30,4.42,10,2.53
48860,산청군,군,경상남도,32634,793.4,41.1,0.4625,0.3233,0.562,0.0139,0.0189,20.46,0,0,35,4.41,13,3.98
48870,함양군,군,경상남도,35121,722.9,48.6,0.424,0.2986,0.5354,0.0034,0.0763,20.5,0,0,28,3.87,11,3.13
48880,거창군,군,경상남도,58760,803.0,73.2,0.3469,0.2448,0.4917,0.0012,0.0626,19.73,0,0,12,1.49,22,3.74
48890,합천군,군,경상남도,38812,986.2,39.4,0.4888,0.346,0.5688,0.0297,0.0101,18.74,0,0,32,3.24,18,4.64
50110,제주시,시,제주특별자치도,476564,1004.1,474.6,0.1904,0.1248,0.4282,0.1283,0.0005,5.38,1,0,55,5.48,328,6.88
50130,서귀포시,시,제주특별자치도,178569,890.3,200.6,0.2507,0.1635,0.4598,0.0674,0.0,5.27,1,0,51,5.73,127,7.11
51110,춘천시,시,강원특별자치도,268920,1117.2,240.7,0.2348,0.1438,0.4391,0.0137,0.0206,20.85,0,0,23,2.06,93,3.46
51130,원주시,시,강원특별자치도,359851,875.5,411.0,0.2101,0.1343,0.433,0.0153,0.0125,18.53,0,0,14,1.6,99,2.75
51150,강릉시,시,강원특별자치도,205593,1045.2,196.7,0.2849,0.1856,0.4592,0.0052,0.0342,20.09,1,0,29,2.77,76,3.7
51170,동해시,시,강원특별자치도,85577,182.1,470.1,0.2747,0.1881,0.4476,0.0076,0.0152,19.05,1,0,17,9.34,49,5.73
51190,태백시,시,강원특별자치도,36755,303.5,121.1,0.3383,0.2453,0.5061,0.0,0.0214,24.21,0,0,17,5.6,39,10.61
51210,속초시,시,강원특별자치도,78976,107.2,737.0,0.2687,0.1859,0.4656,0.0288,0.0329,19.3,0,1,15,14.0,39,4.94
51230,삼척시,시,강원특별자치도,58714,1190.2,49.3,0.329,0.2198,0.5176,0.0308,0.0303,24.93,1,0,29,2.44,27,4.6
51720,홍천군,군,강원특별자치도,65810,1819.9,36.2,0.3719,0.2302,0.4761,0.0187,0.0147,22.36,0,0,29,1.59,19,2.89
51730,횡성군,군,강원특별자치도,45521,996.2,45.7,0.4066,0.2457,0.4729,0.0073,0.0073,20.09,0,0,25,2.51,18,3.95
51750,영월군,군,강원특별자치도,34244,1123.9,30.5,0.39,0.2633,0.5426,0.003,0.0111,24.63,0,0,31,2.76,48,14.02
51760,평창군,군,강원특별자치도,38149,1467.5,26.0,0.3827,0.2437,0.5111,0.0081,0.0084,22.84,0,0,28,1.91,24,6.29
51770,정선군,군,강원특별자치도,33618,1219.9,27.6,0.3671,0.2413,0.5506,0.0,0.0134,25.76,0,0,23,1.89,21,6.25
51780,철원군,군,강원특별자치도,36330,753.5,48.2,0.3091,0.2,0.4723,0.0082,0.0352,14.85,0,1,14,1.86,33,9.08
51790,화천군,군,강원특별자치도,22773,1052.8,21.6,0.307,0.2011,0.525,0.0009,0.0101,23.64,0,1,4,0.38,20,8.78
51800,양구군,군,강원특별자치도,20372,672.8,30.3,0.2903,0.1917,0.4909,0.0,0.0473,22.97,0,1,26,3.86,16,7.85
51810,인제군,군,강원특별자치도,30317,1640.6,18.5,0.2814,0.1791,0.5194,0.0252,0.0124,24.51,0,1,34,2.07,31,10.23
51820,고성군,군,강원특별자치도,27190,695.2,39.1,0.3601,0.2432,0.5439,0.0,0.0827,17.95,0,1,25,3.6,34,12.5
51830,양양군,군,강원특별자치도,27310,635.8,43.0,0.3788,0.2477,0.5106,0.0046,0.112,21.37,0,1,20,3.15,15,5.49
52111,전주시완산구,구,전북특별자치도,299538,92.5,3236.6,0.2203,0.1449,0.443,0.0318,0.05,13.07,0,0,5,5.4,109,3.64
52113,전주시덕진구,구,전북특별자치도,306845,113.0,2714.7,0.1882,0.1226,0.4248,0.0149,0.0187,6.63,0,0,9,7.96,97,3.16
52130,군산시,시,전북특별자치도,255537,384.5,664.5,0.2523,0.1725,0.4461,0.0412,0.0122,4.54,1,0,38,9.88,81,3.17
52140,익산시,시,전북특별자치도,266707,510.1,522.9,0.2641,0.1788,0.4583,0.0141,0.0038,4.91,0,0,21,4.12,96,3.6
52190,남원시,시,전북특별자치도,73744,751.2,98.2,0.3552,0.2493,0.5029,0.0129,0.126,15.72,0,0,50,6.66,36,4.88
52210,김제시,시,전북특별자치도,81665,511.7,159.6,0.3684,0.2642,0.5236,0.0,0.0187,5.01,1,0,24,4.69,15,1.84
52710,완주군,군,전북특별자치도,100378,823.7,121.9,0.2756,0.1797,0.4546,0.0103,0.0355,19.61,0,0,49,5.95,34,3.39
52720,진안군,군,전북특별자치도,24855,792.0,31.4,0.4259,0.284,0.5366,0.013,0.0441,21.13,0,0,31,3.91,14,5.63
52730,무주군,군,전북특별자치도,23412,631.2,37.1,0.4003,0.2763,0.5459,0.19,0.1226,22.44,0,0,16,2.54,10,4.27
52740,장수군,군,전북특별자치도,21180,532.4,39.8,0.4147,0.2767,0.5285,0.0045,0.2094,20.27,0,0,32,6.01,5,2.36
52750,임실군,군,전북특별자치도,25308,600.2,42.2,0.4428,0.3114,0.5588,0.0,0.0289,18.07,0,0,28,4.66,10,3.95
52770,순창군,군,전북특별자치도,27642,500.3,55.3,0.3928,0.2743,0.5136,0.0122,0.062,17.49,0,0,31,6.2,20,7.24
52790,고창군,군,전북특별자치도,50006,611.4,81.8,0.418,0.2935,0.5365,0.0185,0.008,9.24,1,0,31,5.07,19,3.8
52800,부안군,군,전북특별자치도,46926,488.4,96.1,0.411,0.2955,0.5572,0.0163,0.0048,8.77,1,0,21,4.3,9,1.92
